idserie,month,periodo,val
10,Jan-19,0,21
10,Feb-19,1,20
10,Mar-19,2,21
10,Apr-19,3,21
10,May-19,4,21
10,Jun-19,5,21
10,Jul-19,6,21
10,Aug-19,7,21
10,Sep-19,8,22
10,Oct-19,9,21
10,Nov-19,10,21
10,Dec-19,11,22
10,Jan-20,12,20
10,Feb-20,13,17
10,Mar-20,14,16
10,Apr-20,15,19
10,May-20,16,21
10,Jun-20,17,21
10,Jul-20,18,21
10,Aug-20,19,20
10,Sep-20,20,20
10,Oct-20,21,21
10,Nov-20,22,20
10,Dec-20,23,21
10,Jan-21,24,20
10,Feb-21,25,20
10,Mar-21,26,20
10,Apr-21,27,20
10,May-21,28,20
10,Jun-21,29,20
10,Jul-21,30,20
10,Aug-21,31,19
10,Sep-21,32,20
10,Oct-21,33,20
10,Nov-21,34,20
10,Dec-21,35,21
10,Jan-22,36,20
10,Feb-22,37,19
10,Mar-22,38,19
10,Apr-22,39,19
10,May-22,40,20
10,Jun-22,41,20
10,Jul-22,42,20
10,Aug-22,43,19
10,Sep-22,44,19
10,Oct-22,45,19
10,Nov-22,46,19
10,Dec-22,47,20
