idserie,month,periodo,val
32,Jan-19,0,11
32,Feb-19,1,11
32,Mar-19,2,12
32,Apr-19,3,12
32,May-19,4,11
32,Jun-19,5,12
32,Jul-19,6,12
32,Aug-19,7,11
32,Sep-19,8,11
32,Oct-19,9,12
32,Nov-19,10,12
32,Dec-19,11,14
32,Jan-20,12,11
32,Feb-20,13,10
32,Mar-20,14,9
32,Apr-20,15,10
32,May-20,16,12
32,Jun-20,17,12
32,Jul-20,18,12
32,Aug-20,19,11
32,Sep-20,20,12
32,Oct-20,21,12
32,Nov-20,22,12
32,Dec-20,23,14
32,Jan-21,24,12
32,Feb-21,25,12
32,Mar-21,26,12
32,Apr-21,27,12
32,May-21,28,13
32,Jun-21,29,13
32,Jul-21,30,13
32,Aug-21,31,12
32,Sep-21,32,12
32,Oct-21,33,13
32,Nov-21,34,13
32,Dec-21,35,13
32,Jan-22,36,13
32,Feb-22,37,12
32,Mar-22,38,12
32,Apr-22,39,12
32,May-22,40,12
32,Jun-22,41,13
32,Jul-22,42,13
32,Aug-22,43,14
32,Sep-22,44,12
32,Oct-22,45,14
32,Nov-22,46,12
32,Dec-22,47,14
