idserie,month,periodo,val
5,Jan-19,0,11
5,Feb-19,1,10
5,Mar-19,2,10
5,Apr-19,3,11
5,May-19,4,11
5,Jun-19,5,11
5,Jul-19,6,11
5,Aug-19,7,11
5,Sep-19,8,12
5,Oct-19,9,12
5,Nov-19,10,12
5,Dec-19,11,13
5,Jan-20,12,11
5,Feb-20,13,9
5,Mar-20,14,9
5,Apr-20,15,10
5,May-20,16,12
5,Jun-20,17,13
5,Jul-20,18,13
5,Aug-20,19,12
5,Sep-20,20,13
5,Oct-20,21,13
5,Nov-20,22,14
5,Dec-20,23,14
5,Jan-21,24,12
5,Feb-21,25,11
5,Mar-21,26,13
5,Apr-21,27,13
5,May-21,28,13
5,Jun-21,29,13
5,Jul-21,30,13
5,Aug-21,31,13
5,Sep-21,32,14
5,Oct-21,33,14
5,Nov-21,34,13
5,Dec-21,35,16
5,Jan-22,36,15
5,Feb-22,37,14
5,Mar-22,38,13
5,Apr-22,39,15
5,May-22,40,14
5,Jun-22,41,14
5,Jul-22,42,16
5,Aug-22,43,14
5,Sep-22,44,15
5,Oct-22,45,16
5,Nov-22,46,15
5,Dec-22,47,19
