idserie,month,periodo,val
34,Jan-19,0,12
34,Feb-19,1,12
34,Mar-19,2,12
34,Apr-19,3,12
34,May-19,4,12
34,Jun-19,5,12
34,Jul-19,6,13
34,Aug-19,7,12
34,Sep-19,8,12
34,Oct-19,9,12
34,Nov-19,10,12
34,Dec-19,11,14
34,Jan-20,12,12
34,Feb-20,13,9
34,Mar-20,14,9
34,Apr-20,15,10
34,May-20,16,11
34,Jun-20,17,11
34,Jul-20,18,13
34,Aug-20,19,11
34,Sep-20,20,11
34,Oct-20,21,12
34,Nov-20,22,12
34,Dec-20,23,13
34,Jan-21,24,12
34,Feb-21,25,11
34,Mar-21,26,11
34,Apr-21,27,11
34,May-21,28,11
34,Jun-21,29,12
34,Jul-21,30,12
34,Aug-21,31,11
34,Sep-21,32,11
34,Oct-21,33,12
34,Nov-21,34,11
34,Dec-21,35,12
34,Jan-22,36,11
34,Feb-22,37,11
34,Mar-22,38,10
34,Apr-22,39,11
34,May-22,40,11
34,Jun-22,41,11
34,Jul-22,42,11
34,Aug-22,43,10
34,Sep-22,44,11
34,Oct-22,45,11
34,Nov-22,46,11
34,Dec-22,47,11
