idserie,month,periodo,val
45,Jan-19,0,13
45,Feb-19,1,12
45,Mar-19,2,12
45,Apr-19,3,12
45,May-19,4,13
45,Jun-19,5,13
45,Jul-19,6,13
45,Aug-19,7,12
45,Sep-19,8,13
45,Oct-19,9,13
45,Nov-19,10,14
45,Dec-19,11,14
45,Jan-20,12,13
45,Feb-20,13,10
45,Mar-20,14,10
45,Apr-20,15,12
45,May-20,16,13
45,Jun-20,17,14
45,Jul-20,18,14
45,Aug-20,19,14
45,Sep-20,20,13
45,Oct-20,21,14
45,Nov-20,22,14
45,Dec-20,23,15
45,Jan-21,24,14
45,Feb-21,25,13
45,Mar-21,26,13
45,Apr-21,27,14
45,May-21,28,14
45,Jun-21,29,14
45,Jul-21,30,14
45,Aug-21,31,14
45,Sep-21,32,14
45,Oct-21,33,15
45,Nov-21,34,14
45,Dec-21,35,16
45,Jan-22,36,14
45,Feb-22,37,13
45,Mar-22,38,13
45,Apr-22,39,15
45,May-22,40,14
45,Jun-22,41,14
45,Jul-22,42,15
45,Aug-22,43,15
45,Sep-22,44,15
45,Oct-22,45,15
45,Nov-22,46,15
45,Dec-22,47,16
