idserie,month,periodo,val
33,Jan-19,0,15
33,Feb-19,1,15
33,Mar-19,2,15
33,Apr-19,3,15
33,May-19,4,17
33,Jun-19,5,16
33,Jul-19,6,17
33,Aug-19,7,16
33,Sep-19,8,17
33,Oct-19,9,18
33,Nov-19,10,16
33,Dec-19,11,19
33,Jan-20,12,17
33,Feb-20,13,14
33,Mar-20,14,14
33,Apr-20,15,15
33,May-20,16,17
33,Jun-20,17,18
33,Jul-20,18,17
33,Aug-20,19,18
33,Sep-20,20,19
33,Oct-20,21,19
33,Nov-20,22,19
33,Dec-20,23,21
33,Jan-21,24,19
33,Feb-21,25,17
33,Mar-21,26,19
33,Apr-21,27,19
33,May-21,28,19
33,Jun-21,29,21
33,Jul-21,30,20
33,Aug-21,31,20
33,Sep-21,32,19
33,Oct-21,33,20
33,Nov-21,34,20
33,Dec-21,35,22
33,Jan-22,36,20
33,Feb-22,37,19
33,Mar-22,38,20
33,Apr-22,39,20
33,May-22,40,22
33,Jun-22,41,20
33,Jul-22,42,23
33,Aug-22,43,22
33,Sep-22,44,23
33,Oct-22,45,22
33,Nov-22,46,22
33,Dec-22,47,27
