idserie,month,periodo,val
15,Jan-19,0,12
15,Feb-19,1,11
15,Mar-19,2,11
15,Apr-19,3,12
15,May-19,4,13
15,Jun-19,5,13
15,Jul-19,6,13
15,Aug-19,7,13
15,Sep-19,8,13
15,Oct-19,9,13
15,Nov-19,10,15
15,Dec-19,11,17
15,Jan-20,12,14
15,Feb-20,13,11
15,Mar-20,14,11
15,Apr-20,15,12
15,May-20,16,16
15,Jun-20,17,15
15,Jul-20,18,16
15,Aug-20,19,15
15,Sep-20,20,15
15,Oct-20,21,17
15,Nov-20,22,16
15,Dec-20,23,20
15,Jan-21,24,16
15,Feb-21,25,14
15,Mar-21,26,15
15,Apr-21,27,17
15,May-21,28,17
15,Jun-21,29,18
15,Jul-21,30,17
15,Aug-21,31,17
15,Sep-21,32,17
15,Oct-21,33,20
15,Nov-21,34,18
15,Dec-21,35,20
15,Jan-22,36,19
15,Feb-22,37,16
15,Mar-22,38,19
15,Apr-22,39,18
15,May-22,40,19
15,Jun-22,41,21
15,Jul-22,42,20
15,Aug-22,43,18
15,Sep-22,44,19
15,Oct-22,45,21
15,Nov-22,46,21
15,Dec-22,47,26
