idserie,month,periodo,val
44,Jan-19,0,17
44,Feb-19,1,17
44,Mar-19,2,16
44,Apr-19,3,16
44,May-19,4,17
44,Jun-19,5,16
44,Jul-19,6,17
44,Aug-19,7,16
44,Sep-19,8,17
44,Oct-19,9,17
44,Nov-19,10,17
44,Dec-19,11,18
44,Jan-20,12,16
44,Feb-20,13,13
44,Mar-20,14,13
44,Apr-20,15,15
44,May-20,16,16
44,Jun-20,17,16
44,Jul-20,18,16
44,Aug-20,19,15
44,Sep-20,20,15
44,Oct-20,21,15
44,Nov-20,22,15
44,Dec-20,23,16
44,Jan-21,24,15
44,Feb-21,25,15
44,Mar-21,26,14
44,Apr-21,27,14
44,May-21,28,14
44,Jun-21,29,15
44,Jul-21,30,14
44,Aug-21,31,14
44,Sep-21,32,14
44,Oct-21,33,15
44,Nov-21,34,14
44,Dec-21,35,15
44,Jan-22,36,14
44,Feb-22,37,14
44,Mar-22,38,14
44,Apr-22,39,14
44,May-22,40,14
44,Jun-22,41,14
44,Jul-22,42,13
44,Aug-22,43,13
44,Sep-22,44,13
44,Oct-22,45,13
44,Nov-22,46,13
44,Dec-22,47,13
