idserie,month,periodo,val
46,Jan-19,0,19
46,Feb-19,1,18
46,Mar-19,2,19
46,Apr-19,3,19
46,May-19,4,20
46,Jun-19,5,20
46,Jul-19,6,19
46,Aug-19,7,19
46,Sep-19,8,19
46,Oct-19,9,20
46,Nov-19,10,20
46,Dec-19,11,21
46,Jan-20,12,19
46,Feb-20,13,15
46,Mar-20,14,14
46,Apr-20,15,17
46,May-20,16,20
46,Jun-20,17,19
46,Jul-20,18,19
46,Aug-20,19,19
46,Sep-20,20,19
46,Oct-20,21,20
46,Nov-20,22,20
46,Dec-20,23,20
46,Jan-21,24,19
46,Feb-21,25,18
46,Mar-21,26,18
46,Apr-21,27,18
46,May-21,28,19
46,Jun-21,29,19
46,Jul-21,30,19
46,Aug-21,31,18
46,Sep-21,32,18
46,Oct-21,33,18
46,Nov-21,34,18
46,Dec-21,35,19
46,Jan-22,36,18
46,Feb-22,37,18
46,Mar-22,38,18
46,Apr-22,39,18
46,May-22,40,18
46,Jun-22,41,18
46,Jul-22,42,19
46,Aug-22,43,19
46,Sep-22,44,18
46,Oct-22,45,19
46,Nov-22,46,18
46,Dec-22,47,20
