idserie,month,periodo,val
49,Jan-19,0,15
49,Feb-19,1,14
49,Mar-19,2,15
49,Apr-19,3,15
49,May-19,4,15
49,Jun-19,5,15
49,Jul-19,6,15
49,Aug-19,7,16
49,Sep-19,8,16
49,Oct-19,9,16
49,Nov-19,10,16
49,Dec-19,11,18
49,Jan-20,12,16
49,Feb-20,13,13
49,Mar-20,14,12
49,Apr-20,15,14
49,May-20,16,17
49,Jun-20,17,17
49,Jul-20,18,17
49,Aug-20,19,17
49,Sep-20,20,17
49,Oct-20,21,17
49,Nov-20,22,18
49,Dec-20,23,18
49,Jan-21,24,17
49,Feb-21,25,16
49,Mar-21,26,16
49,Apr-21,27,17
49,May-21,28,17
49,Jun-21,29,18
49,Jul-21,30,18
49,Aug-21,31,17
49,Sep-21,32,17
49,Oct-21,33,18
49,Nov-21,34,18
49,Dec-21,35,20
49,Jan-22,36,18
49,Feb-22,37,17
49,Mar-22,38,18
49,Apr-22,39,18
49,May-22,40,18
49,Jun-22,41,18
49,Jul-22,42,20
49,Aug-22,43,17
49,Sep-22,44,19
49,Oct-22,45,18
49,Nov-22,46,19
49,Dec-22,47,20
