idserie,month,periodo,val
48,Jan-19,0,14
48,Feb-19,1,14
48,Mar-19,2,14
48,Apr-19,3,13
48,May-19,4,14
48,Jun-19,5,15
48,Jul-19,6,14
48,Aug-19,7,14
48,Sep-19,8,14
48,Oct-19,9,14
48,Nov-19,10,14
48,Dec-19,11,15
48,Jan-20,12,14
48,Feb-20,13,11
48,Mar-20,14,10
48,Apr-20,15,12
48,May-20,16,14
48,Jun-20,17,13
48,Jul-20,18,14
48,Aug-20,19,13
48,Sep-20,20,13
48,Oct-20,21,14
48,Nov-20,22,14
48,Dec-20,23,15
48,Jan-21,24,13
48,Feb-21,25,13
48,Mar-21,26,13
48,Apr-21,27,13
48,May-21,28,13
48,Jun-21,29,13
48,Jul-21,30,13
48,Aug-21,31,13
48,Sep-21,32,12
48,Oct-21,33,13
48,Nov-21,34,13
48,Dec-21,35,14
48,Jan-22,36,13
48,Feb-22,37,12
48,Mar-22,38,12
48,Apr-22,39,12
48,May-22,40,12
48,Jun-22,41,13
48,Jul-22,42,12
48,Aug-22,43,12
48,Sep-22,44,12
48,Oct-22,45,12
48,Nov-22,46,12
48,Dec-22,47,13
