idserie,month,periodo,val
16,Jan-19,0,14
16,Feb-19,1,13
16,Mar-19,2,14
16,Apr-19,3,14
16,May-19,4,15
16,Jun-19,5,15
16,Jul-19,6,15
16,Aug-19,7,14
16,Sep-19,8,15
16,Oct-19,9,15
16,Nov-19,10,15
16,Dec-19,11,18
16,Jan-20,12,15
16,Feb-20,13,13
16,Mar-20,14,12
16,Apr-20,15,14
16,May-20,16,15
16,Jun-20,17,17
16,Jul-20,18,15
16,Aug-20,19,15
16,Sep-20,20,16
16,Oct-20,21,16
16,Nov-20,22,16
16,Dec-20,23,18
16,Jan-21,24,16
16,Feb-21,25,15
16,Mar-21,26,17
16,Apr-21,27,16
16,May-21,28,16
16,Jun-21,29,18
16,Jul-21,30,17
16,Aug-21,31,17
16,Sep-21,32,17
16,Oct-21,33,18
16,Nov-21,34,17
16,Dec-21,35,19
16,Jan-22,36,17
16,Feb-22,37,17
16,Mar-22,38,17
16,Apr-22,39,18
16,May-22,40,17
16,Jun-22,41,19
16,Jul-22,42,19
16,Aug-22,43,17
16,Sep-22,44,18
16,Oct-22,45,18
16,Nov-22,46,19
16,Dec-22,47,21
