idserie,month,periodo,val
50,Jan-19,0,17
50,Feb-19,1,17
50,Mar-19,2,18
50,Apr-19,3,17
50,May-19,4,18
50,Jun-19,5,19
50,Jul-19,6,19
50,Aug-19,7,19
50,Sep-19,8,19
50,Oct-19,9,19
50,Nov-19,10,19
50,Dec-19,11,21
50,Jan-20,12,20
50,Feb-20,13,16
50,Mar-20,14,15
50,Apr-20,15,18
50,May-20,16,20
50,Jun-20,17,21
50,Jul-20,18,21
50,Aug-20,19,20
50,Sep-20,20,22
50,Oct-20,21,21
50,Nov-20,22,22
50,Dec-20,23,23
50,Jan-21,24,22
50,Feb-21,25,20
50,Mar-21,26,21
50,Apr-21,27,22
50,May-21,28,22
50,Jun-21,29,21
50,Jul-21,30,22
50,Aug-21,31,21
50,Sep-21,32,22
50,Oct-21,33,24
50,Nov-21,34,25
50,Dec-21,35,27
50,Jan-22,36,23
50,Feb-22,37,22
50,Mar-22,38,23
50,Apr-22,39,22
50,May-22,40,23
50,Jun-22,41,24
50,Jul-22,42,26
50,Aug-22,43,25
50,Sep-22,44,26
50,Oct-22,45,25
50,Nov-22,46,26
50,Dec-22,47,29
