idserie,month,periodo,val
11,Jan-19,0,10
11,Feb-19,1,10
11,Mar-19,2,10
11,Apr-19,3,10
11,May-19,4,10
11,Jun-19,5,11
11,Jul-19,6,10
11,Aug-19,7,11
11,Sep-19,8,11
11,Oct-19,9,11
11,Nov-19,10,11
11,Dec-19,11,12
11,Jan-20,12,10
11,Feb-20,13,8
11,Mar-20,14,8
11,Apr-20,15,9
11,May-20,16,10
11,Jun-20,17,11
11,Jul-20,18,11
11,Aug-20,19,11
11,Sep-20,20,10
11,Oct-20,21,11
11,Nov-20,22,11
11,Dec-20,23,12
11,Jan-21,24,10
11,Feb-21,25,11
11,Mar-21,26,10
11,Apr-21,27,11
11,May-21,28,11
11,Jun-21,29,11
11,Jul-21,30,11
11,Aug-21,31,10
11,Sep-21,32,11
11,Oct-21,33,12
11,Nov-21,34,11
11,Dec-21,35,13
11,Jan-22,36,11
11,Feb-22,37,10
11,Mar-22,38,11
11,Apr-22,39,10
11,May-22,40,11
11,Jun-22,41,11
11,Jul-22,42,12
11,Aug-22,43,11
11,Sep-22,44,12
11,Oct-22,45,12
11,Nov-22,46,12
11,Dec-22,47,13
