idserie,month,periodo,val
9,Jan-19,0,10
9,Feb-19,1,9
9,Mar-19,2,10
9,Apr-19,3,10
9,May-19,4,11
9,Jun-19,5,11
9,Jul-19,6,11
9,Aug-19,7,11
9,Sep-19,8,11
9,Oct-19,9,12
9,Nov-19,10,12
9,Dec-19,11,12
9,Jan-20,12,12
9,Feb-20,13,9
9,Mar-20,14,9
9,Apr-20,15,10
9,May-20,16,12
9,Jun-20,17,12
9,Jul-20,18,12
9,Aug-20,19,13
9,Sep-20,20,12
9,Oct-20,21,14
9,Nov-20,22,12
9,Dec-20,23,15
9,Jan-21,24,13
9,Feb-21,25,11
9,Mar-21,26,13
9,Apr-21,27,12
9,May-21,28,14
9,Jun-21,29,13
9,Jul-21,30,15
9,Aug-21,31,13
9,Sep-21,32,13
9,Oct-21,33,14
9,Nov-21,34,14
9,Dec-21,35,16
9,Jan-22,36,14
9,Feb-22,37,13
9,Mar-22,38,13
9,Apr-22,39,14
9,May-22,40,15
9,Jun-22,41,14
9,Jul-22,42,16
9,Aug-22,43,14
9,Sep-22,44,16
9,Oct-22,45,15
9,Nov-22,46,15
9,Dec-22,47,17
