idserie,month,periodo,val
4,Jan-19,0,17
4,Feb-19,1,17
4,Mar-19,2,17
4,Apr-19,3,17
4,May-19,4,18
4,Jun-19,5,17
4,Jul-19,6,18
4,Aug-19,7,17
4,Sep-19,8,17
4,Oct-19,9,18
4,Nov-19,10,17
4,Dec-19,11,18
4,Jan-20,12,18
4,Feb-20,13,14
4,Mar-20,14,13
4,Apr-20,15,16
4,May-20,16,17
4,Jun-20,17,17
4,Jul-20,18,17
4,Aug-20,19,17
4,Sep-20,20,17
4,Oct-20,21,18
4,Nov-20,22,17
4,Dec-20,23,18
4,Jan-21,24,17
4,Feb-21,25,16
4,Mar-21,26,17
4,Apr-21,27,17
4,May-21,28,17
4,Jun-21,29,17
4,Jul-21,30,18
4,Aug-21,31,17
4,Sep-21,32,18
4,Oct-21,33,17
4,Nov-21,34,17
4,Dec-21,35,19
4,Jan-22,36,17
4,Feb-22,37,16
4,Mar-22,38,17
4,Apr-22,39,17
4,May-22,40,17
4,Jun-22,41,17
4,Jul-22,42,17
4,Aug-22,43,17
4,Sep-22,44,17
4,Oct-22,45,18
4,Nov-22,46,17
4,Dec-22,47,18
