idserie,month,periodo,val
24,Jan-19,0,10
24,Feb-19,1,9
24,Mar-19,2,9
24,Apr-19,3,9
24,May-19,4,10
24,Jun-19,5,10
24,Jul-19,6,10
24,Aug-19,7,10
24,Sep-19,8,11
24,Oct-19,9,11
24,Nov-19,10,11
24,Dec-19,11,13
24,Jan-20,12,11
24,Feb-20,13,9
24,Mar-20,14,9
24,Apr-20,15,10
24,May-20,16,10
24,Jun-20,17,12
24,Jul-20,18,11
24,Aug-20,19,11
24,Sep-20,20,12
24,Oct-20,21,12
24,Nov-20,22,13
24,Dec-20,23,13
24,Jan-21,24,12
24,Feb-21,25,11
24,Mar-21,26,12
24,Apr-21,27,12
24,May-21,28,13
24,Jun-21,29,12
24,Jul-21,30,12
24,Aug-21,31,13
24,Sep-21,32,12
24,Oct-21,33,14
24,Nov-21,34,12
24,Dec-21,35,17
24,Jan-22,36,13
24,Feb-22,37,11
24,Mar-22,38,12
24,Apr-22,39,14
24,May-22,40,13
24,Jun-22,41,13
24,Jul-22,42,15
24,Aug-22,43,13
24,Sep-22,44,14
24,Oct-22,45,15
24,Nov-22,46,15
24,Dec-22,47,17
