idserie,month,periodo,val
41,Jan-19,0,12
41,Feb-19,1,11
41,Mar-19,2,12
41,Apr-19,3,11
41,May-19,4,11
41,Jun-19,5,12
41,Jul-19,6,11
41,Aug-19,7,11
41,Sep-19,8,12
41,Oct-19,9,11
41,Nov-19,10,11
41,Dec-19,11,13
41,Jan-20,12,11
41,Feb-20,13,9
41,Mar-20,14,9
41,Apr-20,15,10
41,May-20,16,11
41,Jun-20,17,11
41,Jul-20,18,11
41,Aug-20,19,11
41,Sep-20,20,11
41,Oct-20,21,11
41,Nov-20,22,10
41,Dec-20,23,11
41,Jan-21,24,10
41,Feb-21,25,10
41,Mar-21,26,10
41,Apr-21,27,10
41,May-21,28,10
41,Jun-21,29,10
41,Jul-21,30,10
41,Aug-21,31,11
41,Sep-21,32,11
41,Oct-21,33,11
41,Nov-21,34,11
41,Dec-21,35,11
41,Jan-22,36,11
41,Feb-22,37,10
41,Mar-22,38,10
41,Apr-22,39,10
41,May-22,40,10
41,Jun-22,41,10
41,Jul-22,42,10
41,Aug-22,43,10
41,Sep-22,44,10
41,Oct-22,45,10
41,Nov-22,46,10
41,Dec-22,47,11
