idserie,month,periodo,val
7,Jan-19,0,12
7,Feb-19,1,12
7,Mar-19,2,12
7,Apr-19,3,12
7,May-19,4,12
7,Jun-19,5,12
7,Jul-19,6,13
7,Aug-19,7,12
7,Sep-19,8,13
7,Oct-19,9,13
7,Nov-19,10,12
7,Dec-19,11,13
7,Jan-20,12,12
7,Feb-20,13,10
7,Mar-20,14,10
7,Apr-20,15,12
7,May-20,16,12
7,Jun-20,17,12
7,Jul-20,18,13
7,Aug-20,19,12
7,Sep-20,20,13
7,Oct-20,21,12
7,Nov-20,22,13
7,Dec-20,23,13
7,Jan-21,24,12
7,Feb-21,25,12
7,Mar-21,26,12
7,Apr-21,27,12
7,May-21,28,13
7,Jun-21,29,12
7,Jul-21,30,14
7,Aug-21,31,12
7,Sep-21,32,12
7,Oct-21,33,12
7,Nov-21,34,12
7,Dec-21,35,13
7,Jan-22,36,13
7,Feb-22,37,12
7,Mar-22,38,13
7,Apr-22,39,12
7,May-22,40,12
7,Jun-22,41,12
7,Jul-22,42,14
7,Aug-22,43,12
7,Sep-22,44,12
7,Oct-22,45,13
7,Nov-22,46,12
7,Dec-22,47,14
