idserie,month,periodo,val
19,Jan-19,0,9
19,Feb-19,1,8
19,Mar-19,2,10
19,Apr-19,3,9
19,May-19,4,9
19,Jun-19,5,9
19,Jul-19,6,10
19,Aug-19,7,9
19,Sep-19,8,10
19,Oct-19,9,10
19,Nov-19,10,10
19,Dec-19,11,10
19,Jan-20,12,10
19,Feb-20,13,9
19,Mar-20,14,7
19,Apr-20,15,9
19,May-20,16,10
19,Jun-20,17,9
19,Jul-20,18,10
19,Aug-20,19,9
19,Sep-20,20,9
19,Oct-20,21,9
19,Nov-20,22,10
19,Dec-20,23,11
19,Jan-21,24,9
19,Feb-21,25,9
19,Mar-21,26,10
19,Apr-21,27,9
19,May-21,28,10
19,Jun-21,29,10
19,Jul-21,30,10
19,Aug-21,31,10
19,Sep-21,32,9
19,Oct-21,33,11
19,Nov-21,34,9
19,Dec-21,35,10
19,Jan-22,36,10
19,Feb-22,37,9
19,Mar-22,38,10
19,Apr-22,39,9
19,May-22,40,10
19,Jun-22,41,10
19,Jul-22,42,10
19,Aug-22,43,10
19,Sep-22,44,10
19,Oct-22,45,11
19,Nov-22,46,10
19,Dec-22,47,12
