idserie,month,periodo,val
47,Jan-19,0,10
47,Feb-19,1,9
47,Mar-19,2,9
47,Apr-19,3,9
47,May-19,4,9
47,Jun-19,5,9
47,Jul-19,6,9
47,Aug-19,7,8
47,Sep-19,8,8
47,Oct-19,9,9
47,Nov-19,10,9
47,Dec-19,11,9
47,Jan-20,12,8
47,Feb-20,13,6
47,Mar-20,14,6
47,Apr-20,15,8
47,May-20,16,8
47,Jun-20,17,8
47,Jul-20,18,7
47,Aug-20,19,7
47,Sep-20,20,7
47,Oct-20,21,7
47,Nov-20,22,7
47,Dec-20,23,7
47,Jan-21,24,7
47,Feb-21,25,7
47,Mar-21,26,6
47,Apr-21,27,6
47,May-21,28,6
47,Jun-21,29,6
47,Jul-21,30,6
47,Aug-21,31,6
47,Sep-21,32,6
47,Oct-21,33,6
47,Nov-21,34,6
47,Dec-21,35,6
47,Jan-22,36,5
47,Feb-22,37,5
47,Mar-22,38,5
47,Apr-22,39,5
47,May-22,40,5
47,Jun-22,41,5
47,Jul-22,42,5
47,Aug-22,43,5
47,Sep-22,44,5
47,Oct-22,45,5
47,Nov-22,46,5
47,Dec-22,47,5
