idserie,month,periodo,val
23,Jan-19,0,14
23,Feb-19,1,14
23,Mar-19,2,14
23,Apr-19,3,15
23,May-19,4,15
23,Jun-19,5,15
23,Jul-19,6,15
23,Aug-19,7,14
23,Sep-19,8,15
23,Oct-19,9,15
23,Nov-19,10,16
23,Dec-19,11,17
23,Jan-20,12,15
23,Feb-20,13,12
23,Mar-20,14,11
23,Apr-20,15,13
23,May-20,16,15
23,Jun-20,17,15
23,Jul-20,18,15
23,Aug-20,19,15
23,Sep-20,20,16
23,Oct-20,21,16
23,Nov-20,22,16
23,Dec-20,23,16
23,Jan-21,24,14
23,Feb-21,25,14
23,Mar-21,26,14
23,Apr-21,27,14
23,May-21,28,15
23,Jun-21,29,15
23,Jul-21,30,15
23,Aug-21,31,15
23,Sep-21,32,15
23,Oct-21,33,16
23,Nov-21,34,15
23,Dec-21,35,17
23,Jan-22,36,15
23,Feb-22,37,14
23,Mar-22,38,15
23,Apr-22,39,15
23,May-22,40,15
23,Jun-22,41,16
23,Jul-22,42,16
23,Aug-22,43,15
23,Sep-22,44,16
23,Oct-22,45,16
23,Nov-22,46,15
23,Dec-22,47,19
