idserie,month,periodo,val
42,Jan-19,0,16
42,Feb-19,1,16
42,Mar-19,2,17
42,Apr-19,3,16
42,May-19,4,16
42,Jun-19,5,16
42,Jul-19,6,17
42,Aug-19,7,16
42,Sep-19,8,16
42,Oct-19,9,16
42,Nov-19,10,16
42,Dec-19,11,17
42,Jan-20,12,17
42,Feb-20,13,14
42,Mar-20,14,12
42,Apr-20,15,14
42,May-20,16,16
42,Jun-20,17,16
42,Jul-20,18,16
42,Aug-20,19,16
42,Sep-20,20,17
42,Oct-20,21,16
42,Nov-20,22,17
42,Dec-20,23,17
42,Jan-21,24,16
42,Feb-21,25,15
42,Mar-21,26,15
42,Apr-21,27,16
42,May-21,28,16
42,Jun-21,29,16
42,Jul-21,30,16
42,Aug-21,31,15
42,Sep-21,32,16
42,Oct-21,33,16
42,Nov-21,34,16
42,Dec-21,35,17
42,Jan-22,36,15
42,Feb-22,37,15
42,Mar-22,38,15
42,Apr-22,39,16
42,May-22,40,15
42,Jun-22,41,16
42,Jul-22,42,16
42,Aug-22,43,16
42,Sep-22,44,16
42,Oct-22,45,17
42,Nov-22,46,16
42,Dec-22,47,17
