idserie,month,periodo,val
40,Jan-19,0,9
40,Feb-19,1,9
40,Mar-19,2,10
40,Apr-19,3,10
40,May-19,4,9
40,Jun-19,5,9
40,Jul-19,6,10
40,Aug-19,7,10
40,Sep-19,8,10
40,Oct-19,9,10
40,Nov-19,10,10
40,Dec-19,11,12
40,Jan-20,12,10
40,Feb-20,13,9
40,Mar-20,14,8
40,Apr-20,15,9
40,May-20,16,11
40,Jun-20,17,11
40,Jul-20,18,12
40,Aug-20,19,12
40,Sep-20,20,11
40,Oct-20,21,12
40,Nov-20,22,12
40,Dec-20,23,13
40,Jan-21,24,11
40,Feb-21,25,10
40,Mar-21,26,11
40,Apr-21,27,11
40,May-21,28,11
40,Jun-21,29,12
40,Jul-21,30,11
40,Aug-21,31,12
40,Sep-21,32,12
40,Oct-21,33,13
40,Nov-21,34,11
40,Dec-21,35,13
40,Jan-22,36,11
40,Feb-22,37,11
40,Mar-22,38,11
40,Apr-22,39,11
40,May-22,40,12
40,Jun-22,41,12
40,Jul-22,42,12
40,Aug-22,43,13
40,Sep-22,44,12
40,Oct-22,45,14
40,Nov-22,46,13
40,Dec-22,47,15
