idserie,month,periodo,val
12,Jan-19,0,13
12,Feb-19,1,12
12,Mar-19,2,12
12,Apr-19,3,13
12,May-19,4,14
12,Jun-19,5,13
12,Jul-19,6,14
12,Aug-19,7,14
12,Sep-19,8,13
12,Oct-19,9,14
12,Nov-19,10,15
12,Dec-19,11,17
12,Jan-20,12,14
12,Feb-20,13,12
12,Mar-20,14,12
12,Apr-20,15,13
12,May-20,16,15
12,Jun-20,17,16
12,Jul-20,18,16
12,Aug-20,19,16
12,Sep-20,20,16
12,Oct-20,21,17
12,Nov-20,22,18
12,Dec-20,23,22
12,Jan-21,24,16
12,Feb-21,25,17
12,Mar-21,26,18
12,Apr-21,27,16
12,May-21,28,18
12,Jun-21,29,18
12,Jul-21,30,19
12,Aug-21,31,19
12,Sep-21,32,20
12,Oct-21,33,19
12,Nov-21,34,19
12,Dec-21,35,23
12,Jan-22,36,21
12,Feb-22,37,19
12,Mar-22,38,19
12,Apr-22,39,21
12,May-22,40,19
12,Jun-22,41,19
12,Jul-22,42,23
12,Aug-22,43,21
12,Sep-22,44,23
12,Oct-22,45,22
12,Nov-22,46,23
12,Dec-22,47,25
