idserie,month,periodo,val
43,Jan-19,0,17
43,Feb-19,1,16
43,Mar-19,2,16
43,Apr-19,3,17
43,May-19,4,17
43,Jun-19,5,17
43,Jul-19,6,18
43,Aug-19,7,17
43,Sep-19,8,17
43,Oct-19,9,19
43,Nov-19,10,17
43,Dec-19,11,19
43,Jan-20,12,17
43,Feb-20,13,14
43,Mar-20,14,13
43,Apr-20,15,16
43,May-20,16,18
43,Jun-20,17,19
43,Jul-20,18,19
43,Aug-20,19,18
43,Sep-20,20,19
43,Oct-20,21,20
43,Nov-20,22,19
43,Dec-20,23,20
43,Jan-21,24,19
43,Feb-21,25,18
43,Mar-21,26,19
43,Apr-21,27,20
43,May-21,28,20
43,Jun-21,29,20
43,Jul-21,30,20
43,Aug-21,31,19
43,Sep-21,32,21
43,Oct-21,33,20
43,Nov-21,34,22
43,Dec-21,35,22
43,Jan-22,36,20
43,Feb-22,37,19
43,Mar-22,38,21
43,Apr-22,39,20
43,May-22,40,21
43,Jun-22,41,21
43,Jul-22,42,21
43,Aug-22,43,21
43,Sep-22,44,23
43,Oct-22,45,23
43,Nov-22,46,22
43,Dec-22,47,23
