idserie,month,periodo,val
38,Jan-19,0,10
38,Feb-19,1,8
38,Mar-19,2,10
38,Apr-19,3,9
38,May-19,4,10
38,Jun-19,5,10
38,Jul-19,6,11
38,Aug-19,7,10
38,Sep-19,8,12
38,Oct-19,9,11
38,Nov-19,10,12
38,Dec-19,11,13
38,Jan-20,12,12
38,Feb-20,13,9
38,Mar-20,14,10
38,Apr-20,15,10
38,May-20,16,11
38,Jun-20,17,13
38,Jul-20,18,12
38,Aug-20,19,13
38,Sep-20,20,13
38,Oct-20,21,12
38,Nov-20,22,14
38,Dec-20,23,15
38,Jan-21,24,12
38,Feb-21,25,12
38,Mar-21,26,14
38,Apr-21,27,13
38,May-21,28,13
38,Jun-21,29,14
38,Jul-21,30,15
38,Aug-21,31,15
38,Sep-21,32,17
38,Oct-21,33,16
38,Nov-21,34,16
38,Dec-21,35,17
38,Jan-22,36,17
38,Feb-22,37,15
38,Mar-22,38,16
38,Apr-22,39,17
38,May-22,40,15
38,Jun-22,41,18
38,Jul-22,42,17
38,Aug-22,43,19
38,Sep-22,44,16
38,Oct-22,45,19
38,Nov-22,46,17
38,Dec-22,47,23
