idserie,month,periodo,val
22,Jan-19,0,26
22,Feb-19,1,25
22,Mar-19,2,26
22,Apr-19,3,25
22,May-19,4,26
22,Jun-19,5,26
22,Jul-19,6,27
22,Aug-19,7,26
22,Sep-19,8,27
22,Oct-19,9,26
22,Nov-19,10,26
22,Dec-19,11,30
22,Jan-20,12,27
22,Feb-20,13,23
22,Mar-20,14,21
22,Apr-20,15,24
22,May-20,16,28
22,Jun-20,17,28
22,Jul-20,18,29
22,Aug-20,19,29
22,Sep-20,20,29
22,Oct-20,21,29
22,Nov-20,22,29
22,Dec-20,23,32
22,Jan-21,24,29
22,Feb-21,25,28
22,Mar-21,26,29
22,Apr-21,27,28
22,May-21,28,29
22,Jun-21,29,30
22,Jul-21,30,31
22,Aug-21,31,29
22,Sep-21,32,29
22,Oct-21,33,31
22,Nov-21,34,32
22,Dec-21,35,32
22,Jan-22,36,30
22,Feb-22,37,30
22,Mar-22,38,30
22,Apr-22,39,31
22,May-22,40,31
22,Jun-22,41,31
22,Jul-22,42,32
22,Aug-22,43,32
22,Sep-22,44,31
22,Oct-22,45,31
22,Nov-22,46,29
22,Dec-22,47,33
