idserie,month,periodo,val
13,Jan-19,0,17
13,Feb-19,1,18
13,Mar-19,2,18
13,Apr-19,3,18
13,May-19,4,18
13,Jun-19,5,19
13,Jul-19,6,19
13,Aug-19,7,19
13,Sep-19,8,18
13,Oct-19,9,20
13,Nov-19,10,19
13,Dec-19,11,21
13,Jan-20,12,19
13,Feb-20,13,16
13,Mar-20,14,15
13,Apr-20,15,18
13,May-20,16,20
13,Jun-20,17,20
13,Jul-20,18,21
13,Aug-20,19,20
13,Sep-20,20,19
13,Oct-20,21,21
13,Nov-20,22,21
13,Dec-20,23,22
13,Jan-21,24,20
13,Feb-21,25,19
13,Mar-21,26,21
13,Apr-21,27,22
13,May-21,28,22
13,Jun-21,29,20
13,Jul-21,30,22
13,Aug-21,31,23
13,Sep-21,32,22
13,Oct-21,33,23
13,Nov-21,34,21
13,Dec-21,35,25
13,Jan-22,36,23
13,Feb-22,37,20
13,Mar-22,38,22
13,Apr-22,39,23
13,May-22,40,23
13,Jun-22,41,23
13,Jul-22,42,24
13,Aug-22,43,23
13,Sep-22,44,23
13,Oct-22,45,26
13,Nov-22,46,25
13,Dec-22,47,28
