idserie,month,periodo,val
2,Jan-19,0,19
2,Feb-19,1,18
2,Mar-19,2,18
2,Apr-19,3,18
2,May-19,4,19
2,Jun-19,5,19
2,Jul-19,6,19
2,Aug-19,7,19
2,Sep-19,8,20
2,Oct-19,9,21
2,Nov-19,10,20
2,Dec-19,11,22
2,Jan-20,12,20
2,Feb-20,13,16
2,Mar-20,14,16
2,Apr-20,15,18
2,May-20,16,20
2,Jun-20,17,21
2,Jul-20,18,21
2,Aug-20,19,22
2,Sep-20,20,22
2,Oct-20,21,23
2,Nov-20,22,22
2,Dec-20,23,25
2,Jan-21,24,23
2,Feb-21,25,20
2,Mar-21,26,22
2,Apr-21,27,21
2,May-21,28,22
2,Jun-21,29,22
2,Jul-21,30,23
2,Aug-21,31,23
2,Sep-21,32,22
2,Oct-21,33,23
2,Nov-21,34,23
2,Dec-21,35,27
2,Jan-22,36,22
2,Feb-22,37,21
2,Mar-22,38,23
2,Apr-22,39,24
2,May-22,40,24
2,Jun-22,41,24
2,Jul-22,42,24
2,Aug-22,43,24
2,Sep-22,44,25
2,Oct-22,45,25
2,Nov-22,46,26
2,Dec-22,47,30
