idserie,month,periodo,val
27,Jan-19,0,11
27,Feb-19,1,11
27,Mar-19,2,12
27,Apr-19,3,12
27,May-19,4,11
27,Jun-19,5,13
27,Jul-19,6,13
27,Aug-19,7,12
27,Sep-19,8,13
27,Oct-19,9,13
27,Nov-19,10,12
27,Dec-19,11,13
27,Jan-20,12,12
27,Feb-20,13,10
27,Mar-20,14,9
27,Apr-20,15,12
27,May-20,16,13
27,Jun-20,17,14
27,Jul-20,18,13
27,Aug-20,19,14
27,Sep-20,20,13
27,Oct-20,21,14
27,Nov-20,22,14
27,Dec-20,23,15
27,Jan-21,24,14
27,Feb-21,25,14
27,Mar-21,26,15
27,Apr-21,27,15
27,May-21,28,14
27,Jun-21,29,15
27,Jul-21,30,14
27,Aug-21,31,15
27,Sep-21,32,15
27,Oct-21,33,17
27,Nov-21,34,17
27,Dec-21,35,18
27,Jan-22,36,15
27,Feb-22,37,14
27,Mar-22,38,15
27,Apr-22,39,14
27,May-22,40,15
27,Jun-22,41,17
27,Jul-22,42,17
27,Aug-22,43,17
27,Sep-22,44,16
27,Oct-22,45,16
27,Nov-22,46,17
27,Dec-22,47,19
