idserie,month,periodo,val
36,Jan-19,0,22
36,Feb-19,1,22
36,Mar-19,2,23
36,Apr-19,3,23
36,May-19,4,23
36,Jun-19,5,23
36,Jul-19,6,24
36,Aug-19,7,24
36,Sep-19,8,23
36,Oct-19,9,24
36,Nov-19,10,24
36,Dec-19,11,25
36,Jan-20,12,24
36,Feb-20,13,19
36,Mar-20,14,19
36,Apr-20,15,22
36,May-20,16,24
36,Jun-20,17,25
36,Jul-20,18,25
36,Aug-20,19,25
36,Sep-20,20,25
36,Oct-20,21,27
36,Nov-20,22,25
36,Dec-20,23,27
36,Jan-21,24,27
36,Feb-21,25,24
36,Mar-21,26,26
36,Apr-21,27,27
36,May-21,28,26
36,Jun-21,29,27
36,Jul-21,30,27
36,Aug-21,31,28
36,Sep-21,32,28
36,Oct-21,33,28
36,Nov-21,34,28
36,Dec-21,35,29
36,Jan-22,36,28
36,Feb-22,37,27
36,Mar-22,38,28
36,Apr-22,39,28
36,May-22,40,29
36,Jun-22,41,29
36,Jul-22,42,30
36,Aug-22,43,27
36,Sep-22,44,27
36,Oct-22,45,28
36,Nov-22,46,30
36,Dec-22,47,31
