idserie,month,periodo,val
51,Jan-19,0,13
51,Feb-19,1,13
51,Mar-19,2,14
51,Apr-19,3,13
51,May-19,4,13
51,Jun-19,5,14
51,Jul-19,6,14
51,Aug-19,7,13
51,Sep-19,8,14
51,Oct-19,9,14
51,Nov-19,10,14
51,Dec-19,11,15
51,Jan-20,12,13
51,Feb-20,13,11
51,Mar-20,14,10
51,Apr-20,15,12
51,May-20,16,14
51,Jun-20,17,14
51,Jul-20,18,14
51,Aug-20,19,14
51,Sep-20,20,13
51,Oct-20,21,14
51,Nov-20,22,14
51,Dec-20,23,14
51,Jan-21,24,13
51,Feb-21,25,13
51,Mar-21,26,14
51,Apr-21,27,14
51,May-21,28,14
51,Jun-21,29,13
51,Jul-21,30,14
51,Aug-21,31,14
51,Sep-21,32,14
51,Oct-21,33,15
51,Nov-21,34,14
51,Dec-21,35,16
51,Jan-22,36,14
51,Feb-22,37,13
51,Mar-22,38,13
51,Apr-22,39,14
51,May-22,40,15
51,Jun-22,41,14
51,Jul-22,42,15
51,Aug-22,43,15
51,Sep-22,44,15
51,Oct-22,45,14
51,Nov-22,46,14
51,Dec-22,47,17
