idserie,month,periodo,val
37,Jan-19,0,15
37,Feb-19,1,14
37,Mar-19,2,14
37,Apr-19,3,15
37,May-19,4,15
37,Jun-19,5,15
37,Jul-19,6,16
37,Aug-19,7,16
37,Sep-19,8,16
37,Oct-19,9,17
37,Nov-19,10,17
37,Dec-19,11,18
37,Jan-20,12,17
37,Feb-20,13,13
37,Mar-20,14,13
37,Apr-20,15,15
37,May-20,16,17
37,Jun-20,17,17
37,Jul-20,18,18
37,Aug-20,19,18
37,Sep-20,20,17
37,Oct-20,21,18
37,Nov-20,22,18
37,Dec-20,23,22
37,Jan-21,24,19
37,Feb-21,25,18
37,Mar-21,26,19
37,Apr-21,27,18
37,May-21,28,20
37,Jun-21,29,19
37,Jul-21,30,20
37,Aug-21,31,19
37,Sep-21,32,21
37,Oct-21,33,21
37,Nov-21,34,22
37,Dec-21,35,24
37,Jan-22,36,20
37,Feb-22,37,20
37,Mar-22,38,20
37,Apr-22,39,21
37,May-22,40,20
37,Jun-22,41,21
37,Jul-22,42,22
37,Aug-22,43,22
37,Sep-22,44,22
37,Oct-22,45,23
37,Nov-22,46,25
37,Dec-22,47,26
